img,title,url,best_price,product_id
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Microsoft Pro 9 Intel Evo (QEZ-00065) Surface Pro 9 (QEZ-00065) Laptop
                ",https://www.mysmartprice.com/computer/microsoft-surface-pro-9-intel-evo-qez-00065-surface-pro-9-qez-00065-laptop-msf598420,"113,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 5518 (D560862WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-5518-d560862win9s-laptop-msf597134,"64,500",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Vostro 3400 (D552231WIN9D) Laptop
                ",https://www.mysmartprice.com/computer/dell-vostro-3400-d552231win9d-laptop-msf596176,"59,390",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 3511 (D560651WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-3511-d560651win9s-laptop-msf593727,"41,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Elitebook (Z7k500) 500 GB Laptop Internal Hard Disk
                ",https://www.mysmartprice.com/computer/hp-elitebook--z7k500--500-gb-laptop-internal-hard-disk-msf230460,"3,300",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Intel 520 (SSDSC2CW120A310) 120GB Laptop Internal Hard Drive
                ",https://www.mysmartprice.com/computer/intel-520--ssdsc2cw120a310--120gb-laptop-internal-hard-drive-msf191045,"18,850",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Pavilion X360 13-U135TU (Z4Q58PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-pavilion-x360-13-u135tu-z4q58pa-laptop-msf578051,"45,000",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS ROG Zephyrus M GU502GU-ES003T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-rog-zephyrus-m-gu502gu-es003t-laptop-msf582204,"120,459",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    MSI Katana GF76 11UE-485IN Laptop
                ",https://www.mysmartprice.com/computer/msi-katana-gf76-11ue-485in-laptop-msf598117,"106,178",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell G3 15 3500 (D560321WIN9BL) Laptop
                ",https://www.mysmartprice.com/computer/dell-g3-15-3500-d560321win9bl-laptop-msf582090,"84,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Vostro 15 3568 (Z553505UIN4) Laptop
                ",https://www.mysmartprice.com/computer/dell-vostro-15-3568-z553505uin4-laptop-msf577737,"26,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo V130-15IKB (81HNA01KIH) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-v130-15ikb-81hna01kih-laptop-msf575805,"23,500",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Predator Helios 300 PH317-53-726Q (NH.Q5PSI.004) Laptop
                ",https://www.mysmartprice.com/computer/acer-predator-helios-300-ph317-53-726q-nh.q5psi.004-laptop-msf575520,"99,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS Vivobook E203MAH-FD004T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-e203mah-fd004t-laptop-msf576767,"16,596",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Ideapad S145 (81MV0166IN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-ideapad-s145-81mv0166in-laptop-msf575444,"38,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Vostro 14 3400 (D552155WIN9DE) Laptop
                ",https://www.mysmartprice.com/computer/dell-vostro-14-3400-d552155win9de-laptop-msf584794,"51,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 14 X415EA-EB502WS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-14-x415ea-eb502ws-laptop-msf598119,"38,300",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15-di1001tu (9PG00PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15-di1001tu-9pg00pa-laptop-msf575483,"46,183",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell G15-5515 (D560823WIN9B) Laptop
                ",https://www.mysmartprice.com/computer/dell-g15-5515-d560823win9b-laptop-msf595300,"129,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Yoga 6 (82ND007VIN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-yoga-6-82nd007vin-laptop-msf593387,"44,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Nitro 5 AN515-58 (NH.QFHSI.001) Laptop
                ",https://www.mysmartprice.com/computer/acer-nitro-5-an515-58-nh.qfhsi.001-laptop-msf594658,"79,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 15 X542BP-GQ036T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-15-x542bp-gq036t-laptop-msf577013,"32,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Victus 16-e0550AX (6K468PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-victus-16-e0550ax-6k468pa-laptop-msf598231,"84,420",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Vostro 5625 (D552295WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-vostro-5625-d552295win9s-laptop-msf598472,"46,083",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Acer Aspire 5 A515-52G (NX.H14SI.002) Laptop
                ",https://www.mysmartprice.com/computer/acer-aspire-5-a515-52g-nx.h14si.002-laptop-msf576181,"49,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Legion 5 15ACH6 (82JW00E2IN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-legion-5-15ach6-82jw00e2in-laptop-msf595185,"94,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Inspiron 15 3520 (D560868WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-inspiron-15-3520-d560868win9s-laptop-msf598303,"74,550",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Samsung Galaxy Book Pro 360 Intel Evo 13 2 Pro 360 13 Laptop
                ",https://www.mysmartprice.com/computer/samsung-galaxy-book-2-pro-360-intel-evo-13-2-pro-360-13-laptop-msf594519,"96,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS Vivobook Max A541UV-DM977T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-max-a541uv-dm977t-laptop-msf577505,"34,990",
